"","LPERMNO","mean_lv_bv","mean_lv_mv","NI_annualgr","NI_annualgeomean","CF_annualgr","CF_annualgeomean"
"6530",91547,0.307729801939864,1.35479151426481,0.409964245160466,0.0485035321642225,0.681967195234717,13.8831341517367
"6531",91556,0.0590926630186109,13.8345927810268,-0.04891769088732,1.09039488466716,9.66489365774513,6653.58849698725
"6532",91560,0.777429996341949,4746.53227548666,-6.9124960389877,293.686617251025,1.27620863686765,0.921222124962239
"6533",91563,0.238207238271011,1.32884420839656,-1.94420132803658,0.00733952214997519,5.02472353208957,-9.10919565093362
"6534",91567,NA,NA,NA,NA,NA,NA
"6535",91568,NA,NA,NA,NA,NA,NA
"6536",91570,NA,NA,NA,NA,NA,NA
"6537",91571,0.168201729013971,3556.02002134439,-0.203202621901302,1.17957392275934e-17,-8.02762887657857,18.1146727217494
"6538",91575,0.657255596195425,956.704578052432,-1.83611181382513,0.0421630370617533,0.367281377856096,1.01597532021807
"6539",91578,0,0,-6.75786626460702,-2.18919933904161,2.88930888298522,-0.355377271250406
"6540",91579,0.0386992530894003,4.14583333333333,-3.12073021321631,2.79064014552591,0.0998717675987702,0.317800509847987
"6541",91581,0,NA,-303.8058123729,-0.178202322570245,-8647.20549434034,-1.79321338224475
"6542",91582,NA,NA,-0.115123060144206,3.76204210388945e-07,-0.624051720253801,0.13043569214533
"6543",91594,0.219873016136563,8.75641679406274,-3.06235221933121,2.26198970268863,-3.26676698844705,1149.64030013912
"6544",91598,0.791309430289136,13.3515402789164,0.410673352998048,-0.0771030805687203,-2.44182935163492,-0.317915309446252
"6545",91600,0.0656017409473606,0.112002953403205,-1.18681596245071,6.11857826847052e-07,-4.71217666820756,4.51717396662986
"6546",91602,0.675552571204247,114.93654782534,0.259539179442429,4362.38123864013,31.7995316972591,353.868282629563
"6547",91603,0.0684736029603891,0.209730134555356,0.0486189361255712,44.8353372343872,10.6933522158996,2593325.44025694
"6548",91604,0,0,-1.03771152102008,0.00337851318331251,0.271000711116855,0.000147287838461491
"6549",91605,0,0,-0.195920305978414,0.000710168891086787,-1.36204363825353,3.34261029042124
"6550",91606,0,0,-0.158464220373823,1873.95004180267,-1.93727242829533,20343.7582058693
"6551",91607,0.138648154723273,75.2785274806813,0.270879092986795,0.000598480686791818,-1.21699239341797,2.60715969463516
"6552",91608,NA,NA,-0.237017190535173,0.0315997015662556,-2.55300799470067,159.180182672288
"6553",91609,NA,NA,0.433817223607514,-8.27518768534529,-1.61989817281419,2.39097195299614e-08
"6554",91610,0.057584222727442,20.8326140238704,-279.516607378662,-3.14516129032258,-533.032218529868,-0.970979115812313
"6555",91611,0.0572447356346431,0.629593795689812,-0.880934286097643,13.2840005931567,-1.59061158771979,0.487881632841874
"6556",91612,0.445461596284567,39056.9849853224,-0.00668870105961694,0.00221082998957736,0.464575609015812,1.5802284815447
"6557",91613,0.483508324766642,0.850382591713644,-0.144929847412067,0.000507712803683044,2.37574585888145,-3.08806264206093
"6558",91614,0.244043359232481,NA,-0.119487476545705,5.88248492841416e-08,-1.9848588940346,12.1153079097319
"6559",91615,0,0,-1.48844051001775,0.270179393228245,-0.615272757293066,3385.93863212167
"6560",91616,0.319357310759121,0.908973191789482,-0.575870845271899,0.000287889893025299,-1.48395824525328,1522.45681335907
"6561",91617,0.257517336358039,NA,-0.018952262695289,1.19317470479694,-0.0526288516860068,6636.25487813153
"6562",91618,0.159366054861445,0.143200318771377,-69.745288899124,1996.36957098661,10.2859974959978,0.763503938723765
"6563",91619,0.0745855490652007,0.163633930834653,-1.02475614103253,-0.160724439693573,0.231790424761927,-0.606669503853534
"6564",91621,0.0137409751423532,10.9829268292683,-0.044468559353424,-1.19108268885217e-05,-5.63630968688482,-1627.99874218798
"6565",91622,NA,NA,-0.0202107332518755,0.000599371568396671,-3.35800817323134,599540.553773426
"6566",91623,0.0614411088993123,0.47413182140326,8.49886002017242,317.404211351828,-2.13851774836418,0.00442680777753343
"6567",91624,0.0198971150939596,NA,-2.23284031942399,-3.42689552548707,-1.92518418411001,-2.81784496327387
"6568",91625,0.0321529857138781,NA,-1.49194301541987,74.4602935880445,-2.75207649740704,7539.60874240496
"6569",91626,NA,NA,NA,NA,NA,NA
"6570",91627,0.686875876874671,NA,0.38625017019629,25.8370530596383,-2.02151127793313,82591916.5780168
"6571",91629,NA,NA,NA,NA,NA,NA
"6572",91630,0.236906324314522,NA,-0.305031755309491,-0.690840386723496,-0.970977186353447,-1.54019288089565
"6573",91635,0.438442867803534,NA,-0.0394578339038606,-10154.4652721177,-19.9061993787378,22224146.0955118
"6574",91640,0.54285944310902,NA,27.2414387249623,1,10.0447761194029,1
"6575",91650,NA,NA,0.176506411769544,0.00152773158907904,1.47873335179502,1349.647405718
"6576",91653,0.196950899729353,459.27619303817,0.283362750564259,-0.244232662701369,7.27314890886107,-0.266768347269157
"6577",91654,0.0553205702713652,NA,-17.3370286576628,1.46526859823217,-82.4557964284276,0.839475478671915
"6578",91655,0.287264496014964,106.866180452543,0.256015194976341,30.6417639691235,-2.71074917835327,211.889138150712
"6579",91656,0.60156210961609,136.979958819129,0.273433697177936,9.54129975456729e-05,-0.637787963629244,13.5904370341376
"6580",91657,0,0,0.0840769297997337,1.52451278315023e-05,-2.55411817149645,2.79996297194184e-06
"6581",91658,0.397777518782239,6.78561359816963,0.291594135845321,2.48654657508148e-10,-0.0839278338365411,7.86192108089822e-07
"6582",91659,0.305785718628382,1.07528882499037,0.145781505286921,165.103771105408,0.0655749958329428,58.7505909895344
"6583",91661,0.0367834156640318,NA,-13.2912699415419,3525.50024808728,6.32968470033822,0.856060793818139
"6584",91664,0.0245344832233774,NA,-1.35963039089148,137.623444170761,-13.7621116084192,1.15441189071493
"6585",91665,0.350329015551941,558.975894297356,1.00680697821544,3.57006247117436,-0.610404160303521,1.48776025652894
"6586",91666,0.00264914488651696,0.109833153201443,1.24273873020262,1865.82705278668,-2.23972970628111,0.000617753693558792
"6587",91667,0,0,-5.11904644825858,0.403157103482836,-0.78762434838348,3.36329494241362
"6588",91668,0.0228271073778056,0.120211726329074,0.143366703200586,3154.15851608611,0.314884202084456,0.000315240293225508
"6589",91670,0.38146746887098,0.416109537972574,2.23411136326855,0.635459070509158,-0.564689602237934,0.231207096910771
