"","PERMNO","error","Fstat","df","pvalue","sig90","sig95","sig99"
"2652",57665,0.204876588672796,1.41145258958702,6,0.720293714687268,0,0,0
"2653",57681,NA,NA,0,NA,NA,NA,NA
"2654",57745,0.526057261926696,0.151005294414718,1,0.23595363965174,0,0,0
"2655",57808,0.557647600362687,1.37525513547381,6,0.71464237824613,0,0,0
"2656",57809,0.433852001435162,0.759711908537717,6,0.583072738517097,0,0,0
"2657",57817,0.654853441063583,0.914694222535979,6,0.624196847720346,0,0,0
"2658",57904,0.238792972218592,0.564027181062783,6,0.518951091551935,0,0,0
"2659",57913,0.308662360612177,1.66448691171111,5,0.746559387276178,0,0,0
"2660",58246,0.23969528958672,0.372888240959203,6,0.436165863708888,0,0,0
"2661",58318,0.631010931868302,0.649939510426794,6,0.549103235960861,0,0,0
"2662",58334,0.110621240671571,0.39490971310959,6,0.447116074405507,0,0,0
"2663",58413,0.134942893065921,1.77795073978132,6,0.769210608904332,0,0,0
"2664",58421,0.249174532038076,1.88733821781116,6,0.781381737159355,0,0,0
"2665",58501,0.380102109165564,0.919110552725856,6,0.625269934572263,0,0,0
"2666",58560,0.128343410485858,2.9377512482531,5,0.852801409114744,0,0,0
"2667",58608,NA,NA,NA,NA,NA,NA,NA
"2668",58640,NA,NA,0,NA,NA,NA,NA
"2669",58675,0.673324876248124,0.17583626501571,6,0.310425044038111,0,0,0
"2670",58683,0.422444808582454,1.74575325036979,6,0.765440118732236,0,0,0
"2671",58755,NA,NA,0,NA,NA,NA,NA
"2672",58756,NA,NA,0,NA,NA,NA,NA
